doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hcmut-course-registration-rules,data/dang-ky-hoc-phan-final/hcmut-course-registration-rules.md,HCMUT Course Registration Rules and Guide,https://mybk.hcmut.edu.vn/bksi/public/vi/article/82,2026-09-19,not-stated,public-source
hoasen-academic-regulations,data/dang-ky-hoc-phan-final/hoasen-academic-regulations.md,Hoa Sen Academic Regulations Directory,https://www.hoasen.edu.vn/dtdh/van-ban-bieu-mau/quy-dinh/,2026-09-19,not-stated,public-source
tdtu-course-registration-guide,data/dang-ky-hoc-phan-final/tdtu-course-registration-guide.md,TDTU Student Course Registration Guide,https://undergrad.tdtu.edu.vn/huong-dan/huong-dan-sv-dang-ky-mon-hoc,2026-09-19,not-stated,public-source
ueh-course-registration-regulation,data/dang-ky-hoc-phan-final/ueh-course-registration-regulation.md,UEH Course Registration and Cancellation Regulation,https://daotao.ueh.edu.vn/quy-dinh-dang-ky-va-huy-hoc-phan-da-dang-ky-cua-sinh-vien-dai-hoc-chinh-quy-trong-dao-tao-theo-he-thong-tin-chi-tai-truong-dai-hoc-kinh-te-tp-ho-chi-minh/,2026-09-19,not-stated,public-source
uel-course-registration-process,data/dang-ky-hoc-phan-final/uel-course-registration-process.md,UEL Main-Semester Course Registration Process,https://pdt.uel.edu.vn/dai-hoc-chinh-quy-2370/quy-trinh-dang-ky-mon-hoc-hoc-ky-chinh,2026-09-19,not-stated,public-source
ute-course-registration-guide,data/dang-ky-hoc-phan-final/ute-course-registration-guide.md,UTE Course Registration Guide,https://daotao.ute.udn.vn/reghelp.htm,2026-09-19,not-stated,public-source
