url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://undergrad.tdtu.edu.vn/huong-dan/huong-dan-sv-dang-ky-mon-hoc,tdtu-course-registration-guide,TDTU Student Course Registration Guide,student,academic-affairs,registration,vi,not-stated,public-source
https://pdt.uel.edu.vn/dai-hoc-chinh-quy-2370/quy-trinh-dang-ky-mon-hoc-hoc-ky-chinh,uel-course-registration-process,UEL Main-Semester Course Registration Process,student,academic-affairs,registration,vi,not-stated,public-source
https://mybk.hcmut.edu.vn/bksi/public/vi/article/82,hcmut-course-registration-rules,HCMUT Course Registration Rules and Guide,student,academic-affairs,registration,vi,not-stated,public-source
https://daotao.ueh.edu.vn/quy-dinh-dang-ky-va-huy-hoc-phan-da-dang-ky-cua-sinh-vien-dai-hoc-chinh-quy-trong-dao-tao-theo-he-thong-tin-chi-tai-truong-dai-hoc-kinh-te-tp-ho-chi-minh,ueh-course-registration-regulation,UEH Course Registration and Cancellation Regulation,student,academic-affairs,regulation,vi,not-stated,public-source
https://www.hoasen.edu.vn/dtdh/van-ban-bieu-mau/quy-dinh/,hoasen-academic-regulations, Hoa Sen Academic Regulations,all,academic-affairs,regulation,vi,not-stated,public-source
https://daotao.ute.udn.vn/reghelp.htm,ute-course-registration-guide,UTE Course Registration Guide,student,academic-affairs,registration,vi,not-stated,public-source
